supplier_id,supplier_name,country,crude_type,price_per_barrel,capacity,reliability,lead_time,availability,supplier_rank
ALT_001,Brazil Energy Ltd 4,Brazil,Dubai,110.69,34108.75,94.56,18,High,3
ALT_002,India Energy Ltd 49,India,Oman,84.26,119710.85,70.72,29,Medium,4
ALT_003,UAE Energy Ltd 41,UAE,Brent,78.2,152462.45,87.72,59,Medium,4
ALT_004,Nigeria Energy Ltd 21,Nigeria,Brent,110.82,170961.79,63.72,32,Low,3
ALT_005,UAE Energy Ltd 35,UAE,Oman,65.25,91632.19,68.45,20,Medium,3
ALT_006,Qatar Energy Ltd 36,Qatar,WTI,89.63,102214.2,73.72,46,High,1
ALT_007,UAE Energy Ltd 41,UAE,Oman,51.14,186592.25,66.3,32,High,4
ALT_008,India Energy Ltd 45,India,WTI,111.75,67354.45,94.89,59,Medium,1
ALT_009,Qatar Energy Ltd 17,Qatar,Brent,76.03,181722.05,66.6,28,Low,3
ALT_010,India Energy Ltd 28,India,Brent,99.26,10206.4,79.02,11,Low,2
ALT_011,Norway Energy Ltd 44,Norway,Oman,50.65,142163.45,92.6,58,Medium,2
ALT_012,Nigeria Energy Ltd 5,Nigeria,WTI,76.81,148845.04,64.09,23,Medium,3
ALT_013,Saudi Arabia Energy Ltd 25,Saudi Arabia,WTI,94.91,138656.04,62.73,39,High,5
ALT_014,Saudi Arabia Energy Ltd 29,Saudi Arabia,Dubai,100.57,129335.21,66.04,29,Low,4
ALT_015,India Energy Ltd 6,India,Brent,59.8,33399.87,89.13,25,Medium,3
ALT_016,Saudi Arabia Energy Ltd 16,Saudi Arabia,Dubai,95.12,57151.74,83.98,49,Low,3
ALT_017,Russia Energy Ltd 43,Russia,Dubai,64.38,125316.11,67.53,28,Medium,1
ALT_018,India Energy Ltd 32,India,Oman,57.89,104920.68,83.7,36,High,3
ALT_019,Qatar Energy Ltd 9,Qatar,Oman,110.26,117992.27,74.58,46,High,4
ALT_020,UAE Energy Ltd 2,UAE,Brent,50.97,50991.16,96.81,53,Medium,5
ALT_021,USA Energy Ltd 41,USA,Oman,79.65,86432.71,85.56,37,Low,2
ALT_022,USA Energy Ltd 6,USA,Dubai,55.53,184975.72,98.88,12,Low,3
ALT_023,Brazil Energy Ltd 38,Brazil,Brent,71.71,93122.35,98.04,18,High,2
ALT_024,UAE Energy Ltd 28,UAE,Brent,81.74,125678.16,72.34,50,Low,2
ALT_025,UAE Energy Ltd 1,UAE,WTI,99.1,41128.2,98.03,36,Low,3
ALT_026,Saudi Arabia Energy Ltd 24,Saudi Arabia,WTI,102.48,175957.41,89.24,10,High,3
ALT_027,Brazil Energy Ltd 18,Brazil,Brent,68.41,195259.61,85.04,34,Medium,5
ALT_028,Qatar Energy Ltd 4,Qatar,Oman,110.16,41707.46,66.28,52,High,5
ALT_029,UAE Energy Ltd 15,UAE,Brent,53.08,173956.41,69.76,33,Medium,4
ALT_030,Saudi Arabia Energy Ltd 12,Saudi Arabia,Brent,88.7,183650.06,89.55,29,High,3
ALT_031,India Energy Ltd 27,India,Dubai,68.99,24798.54,74.88,35,Low,1
ALT_032,Saudi Arabia Energy Ltd 15,Saudi Arabia,Brent,116.79,23096.02,78.56,21,Medium,3
ALT_033,UAE Energy Ltd 36,UAE,Oman,50.56,48127.52,82.5,22,Low,5
ALT_034,India Energy Ltd 30,India,Dubai,91.42,103738.53,90.83,15,Low,5
ALT_035,India Energy Ltd 10,India,Brent,115.27,14542.95,81.61,43,Low,1
ALT_036,Qatar Energy Ltd 1,Qatar,Oman,109.43,148170.86,64.15,36,High,4
ALT_037,Nigeria Energy Ltd 4,Nigeria,WTI,99.82,27675.06,96.76,60,Low,4
ALT_038,Qatar Energy Ltd 30,Qatar,Brent,90.65,106031.28,85.42,28,High,5
ALT_039,Canada Energy Ltd 4,Canada,Oman,96.37,34834.57,71.64,57,Medium,4
ALT_040,Qatar Energy Ltd 21,Qatar,Oman,69.04,24190.61,68.09,52,Low,1
ALT_041,Saudi Arabia Energy Ltd 7,Saudi Arabia,WTI,81.47,69666.32,64.82,25,High,4
ALT_042,USA Energy Ltd 30,USA,Dubai,109.67,27179.97,92.22,22,Low,5
ALT_043,Russia Energy Ltd 14,Russia,Dubai,60.38,145119.91,98.64,28,Low,1
ALT_044,USA Energy Ltd 17,USA,WTI,52.18,86834.52,78.04,50,Low,2
ALT_045,UAE Energy Ltd 30,UAE,Brent,106.27,36560.68,60.48,56,High,2
ALT_046,India Energy Ltd 26,India,Dubai,98.04,188139.23,63.35,40,Medium,1
ALT_047,Russia Energy Ltd 5,Russia,WTI,113.17,94251.95,65.14,60,Medium,1
ALT_048,Russia Energy Ltd 30,Russia,Brent,61.76,119038.0,92.79,28,Medium,1
ALT_049,Brazil Energy Ltd 44,Brazil,Oman,62.1,50796.06,67.47,20,Medium,2
ALT_050,Russia Energy Ltd 40,Russia,WTI,95.31,104789.41,95.22,33,High,1
ALT_051,USA Energy Ltd 25,USA,WTI,79.35,132103.98,91.81,18,Low,5
ALT_052,Russia Energy Ltd 25,Russia,Dubai,83.58,158472.67,73.73,39,Low,3
ALT_053,Brazil Energy Ltd 18,Brazil,WTI,51.82,123452.11,61.17,54,Medium,1
ALT_054,Nigeria Energy Ltd 34,Nigeria,Dubai,103.68,199925.09,98.86,9,High,2
ALT_055,USA Energy Ltd 35,USA,Brent,103.48,190082.47,82.97,54,Medium,3
ALT_056,Saudi Arabia Energy Ltd 12,Saudi Arabia,WTI,91.48,163179.94,87.84,40,High,3
ALT_057,Canada Energy Ltd 37,Canada,WTI,89.42,45764.4,99.42,59,Medium,5
ALT_058,USA Energy Ltd 12,USA,Oman,52.66,20671.92,84.01,4,Low,4
ALT_059,Russia Energy Ltd 22,Russia,WTI,106.45,74744.22,67.08,54,Medium,1
ALT_060,Russia Energy Ltd 10,Russia,WTI,104.21,170831.37,94.34,7,Medium,4
ALT_061,Canada Energy Ltd 7,Canada,Dubai,71.12,35925.82,66.28,30,Low,4
ALT_062,Qatar Energy Ltd 12,Qatar,Dubai,65.63,121900.53,67.0,22,Low,3
ALT_063,Saudi Arabia Energy Ltd 12,Saudi Arabia,Brent,116.42,190252.65,75.62,52,Low,1
