route_name,distance_km,weather_level,port_congestion,geopolitical_risk,delay_days
Route_21,2912,Clear,High,Medium,4
Route_56,9737,Storm,High,Medium,5
Route_7,7263,Rain,Low,Medium,2
Route_15,3821,Rain,High,Medium,5
Route_26,12172,Rain,Low,Medium,0
Route_13,9269,Cyclone,Low,Medium,5
Route_61,17373,Clear,Medium,Low,0
Route_79,16409,Rain,Medium,Medium,0
Route_59,7862,Storm,Medium,Low,2
Route_5,3454,Storm,Low,Low,3
Route_54,7109,Storm,Low,Medium,3
Route_82,7068,Rain,Low,Medium,2
Route_63,8592,Cyclone,Medium,Medium,6
Route_55,9582,Rain,Medium,Medium,2
Route_29,6381,Clear,Medium,Low,0
Route_61,2601,Cyclone,High,Medium,10
Route_64,9381,Clear,High,Low,5
Route_17,13244,Storm,Low,High,5
Route_86,11488,Rain,High,Medium,3
Route_60,6042,Cyclone,Low,Medium,10
Route_91,1544,Clear,Medium,High,7
Route_5,11218,Cyclone,Medium,High,17
Route_27,4152,Storm,High,Low,7
Route_15,14048,Storm,Medium,High,7
Route_23,3695,Rain,Low,Medium,0
Route_70,5221,Cyclone,High,High,21
Route_42,13057,Storm,High,High,9
Route_48,12812,Cyclone,Medium,High,12
Route_91,11076,Cyclone,High,Medium,12
Route_59,4360,Clear,Medium,Low,1
Route_10,5083,Rain,Medium,Low,2
Route_19,17763,Rain,Low,High,8
Route_38,15149,Rain,Medium,Medium,1
Route_57,2203,Storm,Low,Low,1
Route_67,12506,Cyclone,High,Medium,14
Route_76,16090,Cyclone,Medium,High,10
Route_34,8931,Cyclone,Medium,Medium,10
Route_19,13071,Storm,Medium,Low,3
Route_92,10846,Rain,Low,High,10
Route_20,6783,Rain,Low,Low,1
Route_74,5644,Cyclone,Medium,Medium,5
Route_72,2636,Storm,Medium,Low,3
Route_70,6827,Storm,Low,Low,3
Route_99,6263,Cyclone,Medium,Low,6
Route_70,12355,Storm,Medium,Medium,5
Route_19,15986,Storm,High,Low,8
Route_18,5329,Storm,Low,Medium,3
Route_58,13211,Clear,Medium,Low,2
Route_83,7894,Rain,Medium,Low,0
Route_11,16096,Clear,High,Medium,4
Route_41,3336,Storm,Medium,Low,4
Route_48,14152,Storm,Low,Medium,3
Route_40,16100,Clear,Low,High,8
Route_54,15999,Storm,Low,High,11
Route_18,4320,Rain,Low,Medium,1
Route_68,12490,Clear,High,Medium,2
Route_53,10456,Cyclone,Low,High,17
Route_97,5986,Rain,Low,Medium,1
Route_71,17575,Clear,Medium,High,6
Route_72,16686,Rain,Low,Low,0
Route_34,11335,Cyclone,Low,High,15
Route_23,17618,Rain,Low,Low,1
