Scenario ID,Current Risk Score,Conflict Score,Weather Score,Sanction Score,Port Congestion Score
1,63.49,75.31,72.75,86.96,18.94
2,46.76,40.11,94.78,39.66,12.49
3,45.9,52.54,10.95,20.29,99.83
4,69.67,54.14,28.41,99.48,96.66
5,56.38,44.07,26.04,83.84,71.56
6,63.83,68.69,89.31,68.94,28.38
7,59.47,69.39,30.58,75.92,61.97
8,31.55,7.74,51.28,34.33,32.86
9,44.31,60.23,32.23,77.69,7.08
10,65.99,66.04,80.92,67.28,49.72
11,42.54,95.03,29.99,1.92,43.2
12,49.64,3.3,95.39,20.99,78.89
13,41.54,77.46,21.77,62.12,4.81
14,59.89,48.36,1.46,92.11,97.61
15,35.94,22.23,20.81,75.37,25.34
16,66.31,89.51,57.39,35.08,83.27
17,62.46,49.34,91.16,92.8,16.54
18,48.7,0.23,98.39,90.61,5.54
19,60.71,83.3,45.78,25.9,87.87
20,49.08,19.67,94.73,20.56,61.37
21,41.07,22.31,54.57,68.4,19.02
22,46.98,52.09,46.91,7.1,81.83
23,48.46,33.57,57.46,51.48,51.33
24,42.92,10.72,42.35,45.24,73.36
25,42.72,84.0,54.5,8.68,23.68
26,22.12,16.49,12.46,36.59,22.94
27,9.84,21.83,5.47,1.77,10.28
28,31.36,17.22,43.1,51.05,14.06
29,23.92,42.48,34.17,18.34,0.68
30,37.77,46.7,68.57,22.63,13.18
31,56.07,88.7,27.5,22.36,85.71
32,49.31,81.71,44.83,48.92,21.77
33,29.98,7.83,57.34,9.83,44.93
34,68.92,94.05,95.28,23.93,62.41
35,40.62,47.41,87.57,27.14,0.37
36,40.48,16.26,34.95,31.57,79.14
37,38.34,68.06,29.96,45.77,9.56
38,92.05,89.81,93.54,97.98,86.86
39,42.81,17.4,4.62,57.96,91.26
40,26.67,17.74,0.7,80.55,7.68
41,35.33,41.37,67.89,23.68,8.4
42,68.32,77.0,63.02,98.85,34.43
43,38.28,6.18,73.44,52.17,21.32
44,33.47,78.17,20.38,26.07,9.25
45,51.05,39.94,41.89,51.46,70.9
