iter	Passed	Remaining
0	142	42539
1	145	21737
2	150	14908
3	153	11351
4	156	9216
5	159	7793
6	163	6828
7	165	6052
8	168	5458
9	171	4967
10	173	4559
11	177	4260
12	180	3985
13	183	3753
14	187	3569
15	190	3379
16	194	3234
17	196	3086
18	200	2959
19	202	2834
20	205	2724
21	208	2635
22	213	2568
23	215	2482
24	218	2401
25	220	2323
26	224	2269
27	227	2207
28	229	2145
29	231	2087
30	234	2031
31	236	1978
32	239	1940
33	242	1898
34	245	1858
35	247	1817
36	250	1780
37	253	1750
38	258	1729
39	272	1770
40	275	1741
41	278	1709
42	281	1679
43	284	1657
44	288	1636
45	291	1610
46	294	1586
47	297	1560
48	300	1538
49	303	1516
50	306	1497
51	309	1475
52	312	1454
53	314	1433
54	317	1413
55	319	1394
56	322	1374
57	325	1358
58	327	1339
59	330	1322
60	333	1305
61	335	1288
62	337	1271
63	340	1254
64	342	1237
65	344	1222
66	347	1209
67	350	1195
68	352	1179
69	354	1164
70	356	1150
71	358	1136
72	361	1123
73	363	1111
74	365	1097
75	368	1085
76	370	1072
77	372	1060
78	374	1049
79	377	1037
80	379	1026
81	382	1015
82	384	1004
83	386	994
84	389	984
85	391	973
86	393	963
87	395	953
88	397	943
89	399	933
90	402	923
91	404	913
92	406	904
93	408	894
94	410	885
95	412	877
96	414	868
97	417	860
98	419	851
99	421	843
100	424	835
101	426	828
102	429	821
103	432	814
104	433	805
105	435	797
106	437	789
107	439	781
108	441	773
109	443	766
110	445	758
111	447	751
112	449	744
113	451	736
114	453	730
115	456	723
116	458	716
117	459	708
118	461	702
119	463	695
120	465	688
121	467	681
122	469	675
123	471	668
124	473	662
125	475	656
126	477	650
127	479	644
128	481	637
129	483	631
130	484	625
131	486	619
132	488	613
133	491	608
134	493	603
135	495	597
136	498	592
137	501	588
138	503	583
139	505	578
140	507	572
141	509	567
142	511	561
143	513	556
144	515	551
145	517	545
146	519	541
147	521	535
148	523	530
149	525	525
150	527	520
151	529	515
152	531	510
153	533	505
154	535	500
155	536	495
156	538	490
157	540	486
158	542	481
159	544	476
160	546	471
161	548	467
162	550	462
163	552	458
164	554	453
165	556	449
166	558	444
167	560	440
168	562	435
169	564	431
170	566	427
171	568	423
172	570	418
173	572	414
174	574	410
175	576	405
176	577	401
177	579	397
178	581	393
179	583	389
180	585	384
181	587	380
182	589	376
183	591	372
184	593	368
185	595	364
186	597	360
187	599	356
188	601	353
189	602	349
190	604	345
191	607	341
192	609	338
193	612	334
194	614	330
195	616	326
196	617	323
197	619	319
198	622	315
199	624	312
200	625	308
201	628	304
202	629	301
203	631	297
204	633	293
205	635	290
206	637	286
207	639	282
208	641	279
209	643	275
210	645	272
211	647	268
212	649	265
213	651	261
214	653	258
215	655	254
216	657	251
217	659	247
218	661	244
219	662	241
220	664	237
221	666	234
222	668	230
223	670	227
224	672	224
225	674	220
226	676	217
227	678	214
228	680	210
229	682	207
230	684	204
231	686	201
232	688	197
233	690	194
234	691	191
235	693	188
236	696	185
237	697	181
238	699	178
239	701	175
240	703	172
241	705	169
242	707	165
243	709	162
244	711	159
245	713	156
246	715	153
247	717	150
248	719	147
249	721	144
250	723	141
251	725	138
252	728	135
253	730	132
254	732	129
255	733	126
256	735	123
257	737	120
258	740	117
259	742	114
260	745	111
261	747	108
262	749	105
263	751	102
264	754	99
265	756	96
266	758	93
267	760	90
268	762	87
269	764	84
270	766	82
271	769	79
272	771	76
273	773	73
274	775	70
275	777	67
276	779	64
277	781	61
278	784	59
279	786	56
280	788	53
281	790	50
282	792	47
283	794	44
284	796	41
285	799	39
286	801	36
287	803	33
288	805	30
289	807	27
290	809	25
291	811	22
292	813	19
293	816	16
294	818	13
295	820	11
296	822	8
297	824	5
298	826	2
299	828	0
