date,IOCL_Panipat_demand_kmt,IOCL_Koyali_demand_kmt,RIL_Jamnagar_demand_kmt,Nayara_Vadinar_demand_kmt,BPCL_Kochi_demand_kmt,MRPL_Mangaluru_demand_kmt,CPCL_Chennai_demand_kmt,total_demand_kmt
2023-07-16,44.7,39.0,172.4,58.0,44.5,45.4,28.7,432.7
2023-07-17,43.6,38.8,179.3,57.3,44.2,45.3,28.8,437.30000000000007
2023-07-18,44.0,39.8,173.8,61.1,44.4,43.4,28.9,435.4
2023-07-19,43.9,40.5,182.6,59.1,43.3,44.2,29.5,443.1
2023-07-20,45.1,38.1,175.3,57.3,43.4,43.1,30.3,432.6
2023-07-21,43.9,39.3,176.2,30.0,46.0,45.3,30.2,410.9
2023-07-22,44.7,40.0,175.8,29.5,44.7,44.0,29.6,408.3
2023-07-23,46.0,39.8,179.9,29.6,45.2,43.8,29.3,413.6
2023-07-24,45.3,39.2,180.5,30.2,44.7,43.2,29.6,412.7
2023-07-25,43.7,39.0,182.4,30.0,44.1,43.9,29.1,412.20000000000005
2023-07-26,43.8,39.7,176.3,30.6,45.3,44.6,27.7,408.00000000000006
2023-07-27,44.4,40.1,178.2,29.5,45.8,45.0,29.2,412.2
2023-07-28,42.5,39.6,171.6,31.2,44.1,44.5,28.7,402.2
2023-07-29,43.2,38.0,174.6,31.0,45.6,42.4,28.5,403.3
2023-07-30,44.4,39.2,180.5,30.3,45.1,43.6,28.9,412.00000000000006
2023-07-31,43.8,39.0,177.8,30.2,43.9,45.7,29.4,409.79999999999995
2023-08-01,45.6,39.1,170.0,30.6,44.2,44.4,30.0,403.9
2023-08-02,43.3,40.4,174.2,29.2,46.5,45.7,29.2,408.49999999999994
2023-08-03,42.9,39.4,176.3,29.8,43.7,42.4,28.9,403.4
2023-08-04,43.0,39.7,179.3,29.1,43.4,44.2,29.4,408.09999999999997
2023-08-05,43.8,40.0,183.6,29.6,42.7,42.7,27.7,410.09999999999997
2023-08-06,43.6,38.9,174.0,29.4,44.3,43.9,29.6,403.7
2023-08-07,45.6,37.7,173.2,29.9,41.9,44.8,29.6,402.7
2023-08-08,43.3,39.3,175.4,58.5,42.9,44.9,29.0,433.29999999999995
2023-08-09,43.7,38.3,172.0,57.1,44.5,44.0,28.3,427.90000000000003
2023-08-10,44.4,39.2,170.0,56.7,41.9,45.0,29.2,426.4
2023-08-11,43.5,38.5,174.6,57.7,43.4,42.7,28.1,428.5
2023-08-12,44.0,39.3,178.6,61.1,43.7,44.2,29.7,440.59999999999997
2023-08-13,43.8,38.6,175.8,60.3,42.4,45.7,28.9,435.5
2023-08-14,44.2,38.7,176.4,57.4,43.6,43.2,28.7,432.2
2023-08-15,42.2,39.6,173.3,59.5,43.7,44.0,29.5,431.8
2023-08-16,44.1,38.4,180.6,57.5,44.0,43.7,28.2,436.5
2023-08-17,43.3,38.8,171.5,57.8,44.4,44.3,28.8,428.9
2023-08-18,43.5,37.8,164.0,58.7,45.1,43.8,29.5,422.40000000000003
2023-08-19,43.0,38.3,172.5,57.8,44.0,43.7,28.6,427.90000000000003
2023-08-20,44.7,39.0,176.2,55.8,43.6,44.4,29.1,432.8
2023-08-21,41.5,38.8,168.2,58.7,43.2,43.6,28.5,422.5
2023-08-22,44.5,38.6,169.3,57.6,43.1,41.6,29.6,424.30000000000007
2023-08-23,42.6,39.0,174.9,59.1,42.9,43.9,29.3,431.7
2023-08-24,44.5,38.0,171.5,57.3,44.2,44.6,29.2,429.3
2023-08-25,44.2,38.8,176.7,57.2,41.8,44.1,29.2,432.0
2023-08-26,44.0,38.3,174.0,58.1,44.3,42.1,28.4,429.20000000000005
2023-08-27,43.9,37.6,167.5,56.9,44.6,43.8,28.9,423.2
2023-08-28,45.1,38.0,170.9,59.4,42.6,42.9,28.4,427.29999999999995
2023-08-29,22.2,38.2,170.2,58.4,43.9,43.4,28.9,405.19999999999993
2023-08-30,22.2,38.7,177.7,56.8,43.5,44.1,28.5,411.5
2023-08-31,22.1,38.1,174.9,59.9,43.0,43.3,29.3,410.6
2023-09-01,22.8,38.5,174.1,57.2,43.6,43.0,28.5,407.7
2023-09-02,21.8,37.7,175.3,55.8,44.0,41.6,28.1,404.30000000000007
2023-09-03,22.9,37.8,173.5,58.0,44.3,43.0,28.8,408.3
2023-09-04,22.3,38.8,173.2,58.2,43.0,42.7,28.8,407.0
2023-09-05,21.9,38.3,172.5,58.2,42.3,43.3,28.4,404.9
2023-09-06,21.9,36.9,170.6,56.0,44.1,44.9,28.9,403.29999999999995
2023-09-07,22.0,37.7,169.6,56.4,42.3,43.9,28.6,400.5
2023-09-08,21.7,37.7,175.3,54.8,43.8,41.7,28.4,403.4
2023-09-09,22.6,38.3,172.2,56.9,43.6,42.1,28.7,404.40000000000003
2023-09-10,22.7,38.0,172.7,57.1,43.0,44.6,28.9,407.0
2023-09-11,22.8,40.0,169.6,55.5,40.7,43.1,29.4,401.09999999999997
