date,Iraq_avail_kmt,Saudi_Arabia_avail_kmt,Russia_avail_kmt,UAE_avail_kmt,USA_avail_kmt,Nigeria_avail_kmt,Spot_Market_avail_kmt,total_avail_kmt
2023-07-16,111.0,81.6,161.5,51.3,39.8,26.2,82.2,553.6
2023-07-17,135.8,118.0,168.3,55.5,40.7,30.4,81.3,630.0
2023-07-18,135.0,99.4,174.6,63.6,40.0,28.8,84.3,625.6999999999999
2023-07-19,100.7,100.8,137.3,67.0,45.9,34.6,74.8,561.1
2023-07-20,102.4,104.5,139.3,60.8,37.9,27.3,69.1,541.3000000000001
2023-07-21,99.4,89.2,131.9,67.1,42.2,29.3,74.6,533.7
2023-07-22,142.3,86.9,150.0,57.8,38.1,24.4,66.3,565.8000000000001
2023-07-23,121.1,111.3,150.3,47.8,36.6,24.1,71.1,562.3000000000001
2023-07-24,119.4,92.6,154.1,75.6,38.3,28.1,83.8,591.9000000000001
2023-07-25,126.7,105.2,136.5,55.8,39.0,30.0,81.7,574.9
2023-07-26,108.4,106.8,132.7,70.3,36.2,31.2,88.1,573.6999999999999
2023-07-27,117.8,99.4,122.7,56.9,41.6,26.6,101.7,566.7
2023-07-28,105.8,98.7,133.0,63.2,46.3,31.2,75.5,553.7
2023-07-29,127.3,126.3,150.8,55.8,46.9,31.0,62.6,600.6999999999999
2023-07-30,108.6,115.4,158.4,61.8,39.1,30.4,87.9,601.6
2023-07-31,124.3,94.6,207.4,54.8,38.8,26.6,69.0,615.5
2023-08-01,132.7,98.6,138.3,64.4,41.1,32.5,87.7,595.3000000000001
2023-08-02,118.6,111.1,154.3,55.3,42.1,29.7,87.5,598.6
2023-08-03,129.9,119.6,172.2,55.2,39.0,29.9,75.2,621.0
2023-08-04,105.5,114.1,151.9,64.1,41.1,26.9,90.7,594.3000000000001
2023-08-05,105.7,94.3,165.1,56.6,37.0,33.3,88.2,580.2
2023-08-06,122.6,93.7,140.5,66.7,36.0,31.4,83.9,574.8
2023-08-07,117.4,99.4,162.4,59.6,33.9,33.1,86.1,591.9000000000001
2023-08-08,103.1,110.4,146.0,53.8,49.4,25.5,75.2,563.4
2023-08-09,114.2,103.2,132.4,68.0,37.2,35.5,80.5,571.0
2023-08-10,134.4,109.5,138.0,66.7,41.9,31.7,83.0,605.1999999999999
2023-08-11,111.5,97.8,160.7,61.6,35.7,30.3,85.8,583.4
2023-08-12,120.3,108.6,169.2,63.2,42.9,30.6,75.4,610.1999999999999
2023-08-13,115.3,100.5,151.1,61.3,32.5,25.6,72.5,558.8
2023-08-14,122.3,85.2,150.3,62.4,38.4,27.3,78.6,564.5
2023-08-15,124.2,96.2,144.9,58.5,42.9,27.0,64.5,558.2
2023-08-16,127.1,88.2,134.0,65.2,39.9,30.6,93.9,578.9
2023-08-17,126.2,114.8,181.3,45.8,37.4,29.3,84.9,619.6999999999999
2023-08-18,129.9,97.9,148.2,59.8,40.9,26.4,75.9,579.0
2023-08-19,125.1,99.0,131.8,50.6,36.1,20.7,75.8,539.1
2023-08-20,122.3,104.7,140.9,56.2,42.9,29.5,76.6,573.0999999999999
2023-08-21,113.8,96.9,165.3,59.9,38.0,30.6,79.2,583.7
2023-08-22,83.1,103.9,145.3,65.0,35.0,25.6,89.6,547.5
2023-08-23,115.3,113.2,137.5,57.7,45.1,33.3,69.6,571.7
2023-08-24,110.5,90.4,131.2,61.9,42.9,33.2,97.6,567.6999999999999
2023-08-25,111.6,99.4,147.0,54.4,41.5,25.8,69.7,549.4
2023-08-26,99.2,105.6,144.1,55.7,37.9,27.9,67.7,538.0999999999999
2023-08-27,129.0,83.0,172.3,65.8,36.7,29.9,80.7,597.4000000000001
2023-08-28,97.6,117.8,145.6,58.1,43.8,31.0,80.2,574.1
2023-08-29,125.0,96.5,162.8,58.5,46.5,31.3,82.6,603.2
2023-08-30,117.2,90.4,173.5,62.5,34.1,29.3,68.9,575.9000000000001
2023-08-31,125.2,99.0,129.1,65.5,42.6,29.6,88.2,579.2
2023-09-01,130.4,103.8,136.8,59.0,41.6,29.5,89.6,590.7
2023-09-02,144.1,103.0,158.9,56.3,42.0,31.4,89.4,625.1
2023-09-03,136.5,106.7,155.1,52.9,42.3,34.6,71.3,599.3999999999999
2023-09-04,132.7,95.2,138.5,57.7,29.8,28.6,82.9,565.4
2023-09-05,137.3,108.5,151.1,67.4,53.5,37.3,82.0,637.0999999999999
2023-09-06,120.6,107.9,115.9,70.2,42.2,29.7,80.9,567.4
2023-09-07,121.1,94.7,155.0,56.4,38.8,31.6,81.8,579.4
2023-09-08,114.2,110.5,158.9,56.9,44.0,32.0,81.9,598.4
2023-09-09,123.6,100.3,141.1,68.8,42.4,24.8,81.4,582.4
2023-09-10,133.4,113.4,140.2,61.5,42.9,30.7,81.5,603.6
2023-09-11,119.8,86.2,145.5,66.1,39.1,25.7,81.2,563.6
2023-09-12,120.0,111.3,148.8,54.5,42.6,22.1,75.8,575.1
2023-09-13,112.3,108.9,154.6,53.5,40.1,29.3,71.0,569.7
2023-09-14,139.1,107.7,138.9,54.3,47.0,35.6,57.1,579.7
2023-09-15,120.2,112.6,141.9,53.3,42.1,27.0,78.3,575.4000000000001
2023-09-16,126.7,105.9,157.7,71.2,35.4,31.0,89.8,617.6999999999999
2023-09-17,117.6,119.5,154.2,57.4,44.7,38.1,79.1,610.5999999999999
2023-09-18,125.6,95.4,155.0,65.8,40.9,31.2,78.4,592.3
2023-09-19,98.2,99.1,155.4,62.3,43.7,24.4,69.5,552.6
2023-09-20,121.6,92.9,149.4,58.5,41.1,34.4,71.4,569.3
2023-09-21,112.6,99.1,155.1,48.9,36.8,34.0,70.5,557.0
2023-09-22,135.7,101.5,116.3,60.8,36.7,36.5,77.4,564.9
2023-09-23,129.3,95.1,153.1,52.2,38.9,23.9,82.0,574.5
2023-09-24,116.6,112.7,161.3,57.7,40.4,32.6,74.9,596.1999999999999
2023-09-25,111.3,90.8,148.8,57.7,43.9,29.1,83.5,565.0999999999999
2023-09-26,108.7,91.1,154.4,55.0,42.3,29.1,94.0,574.6000000000001
2023-09-27,126.7,112.8,138.2,58.9,36.6,31.8,63.7,568.7
2023-09-28,111.7,97.1,163.8,58.5,46.3,30.7,90.6,598.7
2023-09-29,140.4,105.9,121.1,50.5,36.2,28.7,76.2,559.0
2023-09-30,107.4,99.8,152.0,56.2,40.6,32.4,66.6,555.0
2023-10-01,112.1,113.7,156.4,58.7,38.6,27.6,67.7,574.8000000000001
2023-10-02,107.9,104.9,138.1,64.5,45.1,28.6,79.0,568.1
2023-10-03,102.5,89.4,189.3,57.4,30.9,35.4,87.1,592.0
2023-10-04,124.7,80.6,130.4,63.6,39.8,26.6,59.6,525.3000000000001
2023-10-05,110.3,96.4,126.6,57.0,40.6,30.1,77.7,538.7
2023-10-06,133.9,94.7,153.9,58.6,36.6,32.5,76.1,586.3000000000001
2023-10-07,120.4,95.7,149.4,52.0,42.2,35.6,66.1,561.4
2023-10-08,97.2,76.5,116.2,58.1,40.4,32.5,92.0,512.9
2023-10-09,109.6,122.7,168.5,58.3,32.1,33.4,75.5,600.1
2023-10-10,119.3,114.0,140.4,55.3,37.6,29.0,87.9,583.5000000000001
2023-10-11,134.8,106.6,168.7,66.6,46.2,27.4,78.7,629.0000000000001
2023-10-12,113.6,103.0,116.8,55.8,43.3,28.1,87.3,547.9
2023-10-13,116.0,101.2,147.7,64.2,35.6,31.8,82.0,578.5
2023-10-14,101.3,102.8,166.0,71.2,42.8,30.2,95.3,609.6
2023-10-15,134.6,87.6,141.9,59.9,40.7,29.5,67.9,562.1
2023-10-16,92.9,75.5,142.2,63.2,36.0,26.6,82.0,518.4000000000001
2023-10-17,122.7,102.8,140.6,45.1,40.2,34.8,79.1,565.3000000000001
2023-10-18,119.3,106.2,136.9,60.1,37.1,27.0,65.6,552.2
2023-10-19,123.4,100.2,151.9,58.4,45.3,23.5,72.4,575.1
2023-10-20,127.2,109.5,161.3,61.1,44.1,26.0,77.8,607.0
2023-10-21,132.3,105.6,145.6,60.2,40.9,28.2,75.1,587.9
2023-10-22,120.1,96.1,136.5,57.1,39.3,32.2,82.6,563.9
2023-10-23,99.0,85.0,145.8,50.3,38.2,34.8,96.5,549.6
