date,iraq_mmt,saudi_arabia_mmt,russia_mmt,uae_mmt,kuwait_mmt,nigeria_mmt,usa_mmt,iran_mmt,other_mmt,total_imports_mmt,hhi_concentration
2015-01-01,5.219,3.206,0.055,1.902,1.275,1.143,1.518,2.174,1.645,18.137,0.1636
2015-02-01,5.074,4.095,0.094,1.863,1.672,1.067,1.781,2.231,1.528,19.406,0.1604
2015-03-01,3.291,4.307,0.164,2.189,1.363,1.142,1.603,2.18,1.535,17.775,0.1489
2015-04-01,4.47,3.106,0.161,2.027,1.684,1.276,1.495,2.107,1.799,18.125,0.1465
2015-05-01,4.336,3.276,0.415,2.032,1.788,1.215,1.818,2.278,1.574,18.732,0.141
2015-06-01,4.667,3.983,0.388,1.875,1.719,1.318,1.44,2.137,1.31,18.837,0.1532
2015-07-01,4.058,4.029,0.409,2.036,1.865,1.077,1.45,2.199,1.678,18.801,0.1454
2015-08-01,4.188,2.646,0.171,1.835,1.725,1.255,1.531,2.182,1.466,16.999,0.1445
2015-09-01,4.184,4.168,0.037,2.112,1.55,1.143,1.618,2.162,1.546,18.52,0.1537
2015-10-01,3.628,4.682,0.19,1.937,1.666,1.214,1.611,2.251,1.747,18.927,0.1503
2015-11-01,3.973,3.422,0.144,1.702,1.411,1.365,1.802,2.214,1.724,17.758,0.1439
2015-12-01,4.406,5.259,0.354,2.034,1.499,1.071,1.663,2.194,1.429,19.909,0.1623
2016-01-01,3.938,3.189,0.44,2.191,1.646,1.383,1.655,2.195,1.875,18.511,0.1353
2016-02-01,4.542,3.221,0.158,1.933,1.444,1.331,1.842,2.174,1.736,18.382,0.1473
2016-03-01,3.959,3.506,0.099,1.94,1.663,1.159,1.683,2.247,1.62,17.876,0.1451
2016-04-01,3.842,3.472,0.301,2.15,1.513,1.255,1.735,2.173,1.742,18.183,0.1396
2016-05-01,3.976,4.055,0.074,1.81,1.42,1.253,1.69,2.217,1.76,18.256,0.15
2016-06-01,3.488,3.747,0.007,1.988,1.676,1.166,1.63,2.318,1.582,17.603,0.1448
2016-07-01,4.748,3.225,0.269,2.308,1.303,1.175,1.731,2.264,1.729,18.751,0.1494
2016-08-01,4.04,3.843,0.167,2.272,1.716,1.292,1.637,2.256,1.613,18.835,0.1445
2016-09-01,4.55,3.6,0.234,2.414,1.813,1.229,1.802,2.266,1.376,19.284,0.1469
2016-10-01,3.86,2.885,0.138,2.111,1.938,1.298,1.665,2.333,1.355,17.583,0.1397
2016-11-01,4.494,4.215,0.0,2.285,1.742,1.227,1.754,2.412,1.718,19.847,0.1512
2016-12-01,4.511,3.61,0.065,2.244,1.567,1.279,1.648,2.328,1.745,18.996,0.1488
2017-01-01,4.917,3.595,0.152,1.978,1.633,1.313,1.775,2.264,1.83,19.458,0.1507
2017-02-01,5.088,4.067,0.475,2.014,1.517,1.1,1.854,2.349,1.696,20.159,0.1527
2017-03-01,4.561,3.307,0.56,2.155,1.725,1.354,1.757,2.333,1.59,19.343,0.1405
2017-04-01,4.669,4.821,0.396,2.38,1.636,1.186,1.7,2.331,1.877,20.996,0.1515
2017-05-01,3.598,4.655,0.171,2.083,1.566,1.123,1.8,2.338,1.524,18.856,0.1511
2017-06-01,3.808,3.732,0.445,2.113,1.496,1.267,1.695,2.205,1.714,18.476,0.1395
2017-07-01,4.352,4.258,0.473,2.327,1.686,1.184,1.984,2.349,1.728,20.34,0.1435
2017-08-01,4.467,4.019,0.174,2.077,1.649,1.295,1.676,2.316,1.747,19.42,0.1487
2017-09-01,4.363,4.682,0.0,2.333,1.922,1.094,1.701,2.339,1.524,19.957,0.1556
2017-10-01,4.113,3.385,0.46,2.315,1.93,1.377,1.627,2.338,1.813,19.356,0.136
2017-11-01,3.902,4.306,0.161,2.124,1.851,1.352,1.708,2.428,1.582,19.414,0.1456
2017-12-01,4.832,4.257,0.152,2.234,1.561,1.404,1.73,2.35,1.906,20.424,0.1511
2018-01-01,4.184,3.266,0.0,2.282,1.561,1.49,1.545,2.467,1.784,18.578,0.144
2018-02-01,4.499,3.708,0.259,2.191,1.923,1.329,1.772,2.37,1.749,19.799,0.1432
2018-03-01,4.712,3.135,0.0,2.313,1.787,1.303,1.763,2.411,1.681,19.106,0.148
2018-04-01,4.181,4.098,0.053,2.269,1.511,1.427,1.813,2.413,1.913,19.678,0.1459
2018-05-01,5.414,4.517,0.0,2.021,1.677,1.33,1.822,2.37,1.798,20.95,0.1608
2018-06-01,4.215,3.714,0.0,2.08,1.572,1.234,1.88,2.365,2.17,19.229,0.1453
