date,vizag_capacity_mmt,mangaluru_capacity_mmt,padur_capacity_mmt,total_spr_capacity_mmt,vizag_stock_mmt,mangaluru_stock_mmt,padur_stock_mmt,total_spr_stock_mmt,vizag_fill_pct,mangaluru_fill_pct,padur_fill_pct,overall_fill_pct,coverage_days,iea_compliant
2015-01-01,1.33,1.5,2.5,5.33,0.8624,1.0839,1.7055,3.6518,64.8,72.3,68.2,68.5,5.9,0
2015-02-01,1.33,1.5,2.5,5.33,0.8575,1.1044,1.7099,3.6718,64.5,73.6,68.4,68.9,6.0,0
2015-03-01,1.33,1.5,2.5,5.33,0.8408,1.1078,1.6937,3.6423,63.2,73.9,67.7,68.3,5.9,0
2015-04-01,1.33,1.5,2.5,5.33,0.8467,1.1071,1.6893,3.6431,63.7,73.8,67.6,68.4,5.9,0
2015-05-01,1.33,1.5,2.5,5.33,0.8468,1.1006,1.6886,3.636,63.7,73.4,67.5,68.2,5.9,0
2015-06-01,1.33,1.5,2.5,5.33,0.8556,1.1037,1.7104,3.6697,64.3,73.6,68.4,68.8,6.0,0
2015-07-01,1.33,1.5,2.5,5.33,0.8519,1.1125,1.7115,3.6759,64.1,74.2,68.5,69.0,6.0,0
2015-08-01,1.33,1.5,2.5,5.33,0.8543,1.1175,1.7326,3.7044,64.2,74.5,69.3,69.5,6.0,0
2015-09-01,1.33,1.5,2.5,5.33,0.8547,1.118,1.7374,3.7101,64.3,74.5,69.5,69.6,6.0,0
2015-10-01,1.33,1.5,2.5,5.33,0.8562,1.1197,1.7488,3.7247,64.4,74.6,70.0,69.9,6.0,0
2015-11-01,1.33,1.5,2.5,5.33,0.8616,1.1179,1.7518,3.7313,64.8,74.5,70.1,70.0,6.1,0
2015-12-01,1.33,1.5,2.5,5.33,0.8616,1.1129,1.7467,3.7212,64.8,74.2,69.9,69.8,6.0,0
2016-01-01,1.33,1.5,2.5,5.33,0.874,1.134,1.7908,3.7988,65.7,75.6,71.6,71.3,6.2,0
2016-02-01,1.33,1.5,2.5,5.33,0.8847,1.1271,1.8072,3.819,66.5,75.1,72.3,71.7,6.2,0
2016-03-01,1.33,1.5,2.5,5.33,0.9087,1.1426,1.8302,3.8815,68.3,76.2,73.2,72.8,6.3,0
2016-04-01,1.33,1.5,2.5,5.33,0.9167,1.1657,1.8618,3.9442,68.9,77.7,74.5,74.0,6.4,0
2016-05-01,1.33,1.5,2.5,5.33,0.9278,1.1831,1.8915,4.0024,69.8,78.9,75.7,75.1,6.5,0
2016-06-01,1.33,1.5,2.5,5.33,0.9391,1.1975,1.9227,4.0593,70.6,79.8,76.9,76.2,6.6,0
2016-07-01,1.33,1.5,2.5,5.33,0.9396,1.2075,1.9463,4.0934,70.6,80.5,77.9,76.8,6.6,0
2016-08-01,1.33,1.5,2.5,5.33,0.9469,1.2194,1.9571,4.1234,71.2,81.3,78.3,77.4,6.7,0
2016-09-01,1.33,1.5,2.5,5.33,0.9745,1.2352,1.9951,4.2048,73.3,82.3,79.8,78.9,6.8,0
2016-10-01,1.33,1.5,2.5,5.33,0.9844,1.2548,2.0424,4.2816,74.0,83.7,81.7,80.3,6.9,0
2016-11-01,1.33,1.5,2.5,5.33,0.9995,1.2753,2.0978,4.3726,75.1,85.0,83.9,82.0,7.1,0
2016-12-01,1.33,1.5,2.5,5.33,1.0132,1.2883,2.1211,4.4226,76.2,85.9,84.8,83.0,7.2,0
2017-01-01,1.33,1.5,2.5,5.33,1.0265,1.301,2.1486,4.4761,77.2,86.7,85.9,84.0,7.3,0
2017-02-01,1.33,1.5,2.5,5.33,1.0219,1.3133,2.1524,4.4876,76.8,87.6,86.1,84.2,7.3,0
2017-03-01,1.33,1.5,2.5,5.33,1.0338,1.3282,2.1587,4.5207,77.7,88.5,86.3,84.8,7.3,0
2017-04-01,1.33,1.5,2.5,5.33,1.0373,1.3461,2.1959,4.5793,78.0,89.7,87.8,85.9,7.4,0
2017-05-01,1.33,1.5,2.5,5.33,1.0405,1.3483,2.2142,4.603,78.2,89.9,88.6,86.4,7.5,0
2017-06-01,1.33,1.5,2.5,5.33,1.0331,1.3534,2.2044,4.5909,77.7,90.2,88.2,86.1,7.4,0
2017-07-01,1.33,1.5,2.5,5.33,1.0395,1.3555,2.2086,4.6036,78.2,90.4,88.3,86.4,7.5,0
2017-08-01,1.33,1.5,2.5,5.33,1.0516,1.3675,2.1901,4.6092,79.1,91.2,87.6,86.5,7.5,0
2017-09-01,1.33,1.5,2.5,5.33,1.063,1.362,2.196,4.621,79.9,90.8,87.8,86.7,7.5,0
2017-10-01,1.33,1.5,2.5,5.33,1.0717,1.3586,2.2241,4.6544,80.6,90.6,89.0,87.3,7.5,0
