date,war_event,terrorism_event,cyber_attack_event,political_instability_event,news_severity,tanker_movements,shipping_delays,blocked_routes,vessel_congestion,country_sanctions,supplier_sanctions,export_restrictions,import_restrictions,crude_price,daily_change,volatility,news_severity_raw,tanker_movements_raw,shipping_delays_raw,vessel_congestion_raw,country_sanctions_raw,supplier_sanctions_raw,crude_price_raw,daily_change_raw,volatility_raw,Conflict Score,Shipping Delay Ratio,Sanction Exposure,Oil Price Change %,Risk Frequency,Historical Incident Count,risk_score,risk_level
2026-01-01,0,0,0,0,-1.304986690221145,1.6433401108235108,-1.43145038072699,0,-1.2560063784322375,-1.4080533293164037,-1.2031043473149738,0,0,-1.3978579412875751,-1.2810943630243345,-1.3828040404051267,1.51,33,0,1.59,2,13,75.15,0.21,1.03,1.51,0.0,15.0,0.2802241419503413,0.0,0,16,LOW
2026-01-02,0,0,0,0,-1.445485666592706,1.918261082939531,-1.1815245176581135,0,-1.2722544234819417,-1.3196632898112937,-1.2031043473149738,0,0,-1.380515787748987,-1.2851811143219638,-1.3127369729380505,1.03,35,2,1.54,3,13,75.56,0.19,1.26,1.03,0.05714284081633119,16.0,0.2520896574114823,0.0,0,10,LOW
2026-01-03,0,0,0,0,-1.4015797364765934,1.3684191387074907,-1.3064874491925518,0,-1.3567442577404036,-1.3196632898112937,-1.2031043473149738,0,0,-1.2544679400782734,-1.2381834743992273,-1.422407165495213,1.18,31,1,1.28,3,13,78.54,0.42,0.9,1.18,0.03225805411030513,16.0,0.5376343397805504,0.0,0,21,LOW
2026-01-04,0,0,0,0,-1.404506798484334,1.780800596881521,-1.3064874491925518,0,-1.1845149802135388,-1.2312732503061836,-1.3842038476634395,0,0,-1.210478087199904,-1.295397992566037,-1.352340098028137,1.17,34,1,1.81,4,10,79.58,0.14,1.13,1.17,0.029411756055365862,14.0,0.17623361326364387,0.0,0,29,LOW
2026-01-05,0,0,0,0,-1.284497256166959,1.780800596881521,-1.3064874491925518,0,-1.2592559874421783,-1.2312732503061836,-1.2031043473149738,0,0,-1.2680032794254643,-1.2238798448575248,-1.352340098028137,1.58,34,1,1.58,4,13,78.22,0.49,1.13,1.58,0.029411756055365862,17.0,0.6303871567750987,0.0,0,10,LOW
2026-01-06,0,0,0,0,-1.2903513801824407,0.68111670841744,-1.3064874491925518,0,-1.3567442577404036,-1.4080533293164037,-1.4445703477795946,0,0,-1.3927821890323788,-1.2851811143219638,-1.3706184634543308,1.56,26,1,1.28,2,9,75.27,0.19,1.07,1.56,0.03846152366864474,11.0,0.25306336533519375,0.0,0,0,LOW
2026-01-07,0,0,0,0,-1.304986690221145,1.918261082939531,-1.1815245176581135,0,-1.4249860469491615,-1.2312732503061836,-1.2031043473149738,0,0,-1.3115701529492345,-1.272920860429076,-1.3828040404051267,1.51,35,2,1.07,4,13,77.19,0.25,1.03,1.51,0.05714284081633119,17.0,0.3249284734951295,0.0,0,34,LOW
2026-01-08,0,0,0,0,-1.304986690221145,1.6433401108235108,-1.43145038072699,0,-1.22675989734277,-1.2312732503061836,-1.2031043473149738,0,0,-1.2688492381346637,-1.283137738673149,-1.3371081268396423,1.51,33,0,1.68,4,13,78.2,0.2,1.18,1.51,0.0,17.0,0.2564102235371508,0.0,0,24,LOW
2026-01-09,0,0,0,0,-1.2581536980972912,1.0934981665914703,-1.43145038072699,0,-1.3794915208099898,-1.2312732503061836,-1.3238373475472842,0,0,-1.2070942523631063,-1.2851811143219638,-1.4163143770198154,1.67,29,0,1.21,4,11,79.66,0.19,0.92,1.67,0.0,15.0,0.23908390095836152,0.0,0,3,LOW
2026-01-10,0,0,0,0,-1.2347372020353644,1.5058796247655006,-1.43145038072699,0,-1.3632434757602856,-1.1428832108010734,-1.2031043473149738,0,0,-1.1817154910871233,-1.277007611726705,-1.3035977902249536,1.75,32,0,1.26,5,13,80.26,0.23,1.29,1.75,0.0,18.0,0.28739219200397453,0.0,0,24,LOW
2026-01-11,0,0,0,0,-1.3957256124611115,0.9560376805334602,-1.43145038072699,0,-1.2820032505117644,-1.1428832108010734,-1.3842038476634395,0,0,-1.2616585891064684,-1.2810943630243345,-1.3157833671757495,1.2,28,0,1.51,5,10,78.37,0.21,1.25,1.2,0.0,15.0,0.2686795971494885,0.0,0,5,LOW
2026-01-12,0,0,0,0,-1.4337774185617425,0.68111670841744,-1.3064874491925518,0,-1.3242481676409954,-1.1428832108010734,-1.263470847431129,0,0,-1.392359209677779,-1.295397992566037,-1.3066441844626524,1.07,26,1,1.38,5,12,75.28,0.14,1.28,1.07,0.03846152366864474,17.0,0.18631884664375212,0.0,0,8,LOW
2026-01-13,0,0,0,0,-1.2201018919966602,0.68111670841744,-1.1815245176581135,0,-1.1617677171439529,-1.4080533293164037,-1.2031043473149738,0,0,-1.2701181761984628,-1.2238798448575248,-1.263994665134867,1.8,26,2,1.88,2,13,78.17,0.49,1.42,1.8,0.07692304733728948,15.0,0.6307929157063702,0.0,0,16,LOW
2026-01-14,0,0,0,0,-1.278643132151477,0.5436562223594298,-1.1815245176581135,0,-1.1617677171439529,-1.3196632898112937,-1.3238373475472842,0,0,-1.2092091491361048,-1.2749642360778906,-1.3675720692166318,1.6,25,2,1.88,3,11,79.61,0.24,1.08,1.6,0.0799999680000128,14.0,0.30238121426468256,0.0,0,0,LOW
2026-01-15,0,0,0,0,-1.3927985504533706,1.6433401108235108,-1.1815245176581135,0,-1.3827411298199306,-1.2312732503061836,-1.2031043473149738,0,0,-1.277308825226658,-1.289267865619593,-1.25485548242177,1.21,33,2,1.2,4,13,78.0,0.17,1.45,1.21,0.06060604224059325,17.0,0.21842474387450292,0.0,0,0,LOW
2026-01-16,0,0,0,0,-1.366454992383703,1.2309586526494805,-1.3064874491925518,0,-1.441234091998866,-1.4080533293164037,-1.263470847431129,0,0,-1.363173634210399,-1.2259232205063395,-1.25485548242177,1.3,30,1,1.02,2,12,75.97,0.48,1.45,1.3,0.033333322222225924,14.0,0.6358457231625748,0.0,0,5,LOW
2026-01-17,0,0,0,0,-1.2376642640431053,1.780800596881521,-1.43145038072699,0,-1.41848682892928,-1.4080533293164037,-1.4445703477795946,0,0,-1.181292511732524,-1.2361400987504125,-1.3675720692166318,1.74,34,0,1.09,2,9,80.27,0.43,1.08,1.74,0.0,11.0,0.5385770868515674,0.0,0,0,LOW
2026-01-18,0,0,0,0,-1.3401114343140352,1.5058796247655006,-1.1815245176581135,0,-1.392489956849753,-1.3196632898112937,-1.2031043473149738,0,0,-1.386437498713383,-1.2422702256968563,-1.2822730305610606,1.39,32,2,1.17,3,13,75.42,0.4,1.36,1.39,0.0624999804687561,16.0,0.5331910779537353,0.0,0,18,LOW
2026-01-19,0,0,0,0,-1.3313302482908127,1.0934981665914703,-1.3064874491925518,0,-1.1227724090246627,-1.3196632898112937,-1.2031043473149738,0,0,-1.2502381465322765,-1.2238798448575248,-1.251809088184071,1.42,29,1,2.0,3,13,78.64,0.49,1.46,1.42,0.03448274673008733,16.0,0.6269992799745002,0.0,0,0,LOW
2026-01-20,0,0,0,0,-1.302059628213404,1.2309586526494805,-1.43145038072699,0,-1.2560063784322375,-1.3196632898112937,-1.5049368478957499,0,0,-1.2929590613468473,-1.2606606065361883,-1.4010824058313205,1.52,30,0,1.59,3,8,77.63,0.31,0.97,1.52,0.0,11.0,0.4009311431801419,0.0,0,0,LOW
2026-01-21,0,0,0,0,-1.4015797364765934,0.5436562223594298,-1.3064874491925518,0,-1.4249860469491615,-1.3196632898112937,-1.5049368478957499,0,0,-1.3483693567994095,-1.2974413682148516,-1.3066441844626524,1.18,25,1,1.07,3,8,76.32,0.13,1.28,1.18,0.0399999840000064,11.0,0.17062604401810685,0.0,0,26,LOW
2026-01-22,0,0,0,0,-1.3986526744688523,1.5058796247655006,-1.3064874491925518,0,-1.3859907388298716,-1.1428832108010734,-1.4445703477795946,0,0,-1.2345879104120872,-1.2851811143219638,-1.3980360115936217,1.19,32,1,1.19,5,9,79.01,0.19,0.98,1.19,0.03124999023437805,14.0,0.2410555390693302,0.0,0,5,LOW
2026-01-23,0,0,0,0,-1.4308503565540018,1.918261082939531,-1.1815245176581135,0,-1.4152372199193393,-1.4080533293164037,-1.2031043473149738,0,0,-1.2946509787652458,-1.2688341091314466,-1.3371081268396423,1.08,35,2,1.1,2,13,77.59,0.27,1.18,1.08,0.05714284081633119,15.0,0.34919809244722033,0.0,0,10,LOW
2026-01-24,0,0,0,0,-1.3606008683682211,1.5058796247655006,-1.43145038072699,0,-1.311249731601232,-1.3196632898112937,-1.263470847431129,0,0,-1.31791484326823,-1.2340967231015978,-1.3767112519297289,1.32,32,0,1.42,3,12,77.04,0.44,1.05,1.32,0.0,15.0,0.5744124576485041,0.0,0,0,LOW
2026-01-25,0,0,0,0,-1.3898714884456298,1.918261082939531,-1.1815245176581135,0,-1.1747661531837164,-1.4080533293164037,-1.5049368478957499,0,0,-1.3407557284166145,-1.227966596155154,-1.3401545210773411,1.22,35,2,1.84,2,8,76.5,0.47,1.17,1.22,0.05714284081633119,10.0,0.6181769540737926,0.0,0,0,LOW
2026-01-26,0,0,0,0,-1.2259560160121417,0.9560376805334602,-1.3064874491925518,0,-1.1552684991240711,-1.1428832108010734,-1.3238373475472842,0,0,-1.1690261104491322,-1.2340967231015978,-1.3919432231182236,1.78,28,1,1.9,5,11,80.56,0.44,1.0,1.78,0.03571427295918823,16.0,0.5491761671023255,0.0,0,13,LOW
2026-01-27,0,0,0,0,-1.4162150465152976,1.3684191387074907,-1.1815245176581135,0,-1.1357708450644262,-1.1428832108010734,-1.3842038476634395,0,0,-1.403779652251971,-1.2708774847802613,-1.251809088184071,1.13,31,2,1.96,5,10,75.01,0.26,1.46,1.13,0.06451610822061025,15.0,0.34782604042460996,0.0,0,0,LOW
2026-01-28,0,0,0,0,-1.2201018919966602,0.5436562223594298,-1.1815245176581135,0,-1.2072622432831246,-1.2312732503061836,-1.4445703477795946,0,0,-1.2633505065248676,-1.2443136013456713,-1.3949896173559224,1.8,25,2,1.74,4,9,78.33,0.39,0.99,1.8,0.0799999680000128,13.0,0.5003848472690727,0.0,0,13,LOW
2026-01-29,0,0,0,0,-1.4396315425772244,1.6433401108235108,-1.43145038072699,0,-1.1715165441737754,-1.3196632898112937,-1.5049368478957499,0,0,-1.3246825129418256,-1.299484743863666,-1.334061732601943,1.05,33,0,1.85,3,8,76.88,0.12,1.19,1.05,0.0,11.0,0.15633140224968706,0.0,0,0,LOW
2026-01-30,0,0,0,0,-1.4396315425772244,1.780800596881521,-1.43145038072699,0,-1.246257551402415,-1.3196632898112937,-1.263470847431129,0,0,-1.386860478067983,-1.2340967231015978,-1.3492937037904382,1.05,34,0,1.62,3,12,75.41,0.44,1.14,1.05,0.0,15.0,0.5869013489527346,0.0,0,5,LOW
2026-01-31,0,0,0,0,-1.3547467443527395,1.2309586526494805,-1.43145038072699,0,-1.3599938667503448,-1.3196632898112937,-1.2031043473149738,0,0,-1.2561598574966726,-1.2606606065361883,-1.251809088184071,1.34,30,0,1.27,3,13,78.5,0.31,1.46,1.34,0.0,16.0,0.3964700861401603,0.0,0,5,LOW
2026-02-01,0,0,0,0,-1.42499623253852,1.5058796247655006,-1.1815245176581135,0,-1.1227724090246627,-1.4080533293164037,-1.5049368478957499,0,0,-1.240509621376483,-1.266790733482632,-1.251809088184071,1.1,32,2,2.0,2,8,78.87,0.28,1.46,1.1,0.0624999804687561,10.0,0.3562793795292811,0.0,0,35,MEDIUM
2026-02-02,0,0,0,0,-1.2201018919966602,0.9560376805334602,-1.3064874491925518,0,-1.3567442577404036,-1.2312732503061836,-1.5049368478957499,0,0,-1.3855915400041838,-1.2851811143219638,-1.3736648576920298,1.8,28,1,1.28,4,8,75.44,0.19,1.06,1.8,0.03571427295918823,12.0,0.25249166079845037,0.0,0,5,LOW
2026-02-03,0,0,0,0,-1.3518196823449984,1.6433401108235108,-1.3064874491925518,0,-1.1455196720942487,-1.4080533293164037,-1.2031043473149738,0,0,-1.2663113620070654,-1.27905098737552,-1.2426699054709742,1.35,33,1,1.93,2,13,78.26,0.22,1.49,1.35,0.030303021120296626,15.0,0.28190667838202477,0.0,0,0,LOW
2026-02-04,0,0,0,0,-1.4308503565540018,1.0934981665914703,-1.1815245176581135,0,-1.3794915208099898,-1.3196632898112937,-1.3842038476634395,0,0,-1.181292511732524,-1.2810943630243345,-1.260948270897168,1.08,29,2,1.21,3,10,80.27,0.21,1.43,1.08,0.06896549346017466,13.0,0.2623032397822583,0.0,0,21,LOW
2026-02-05,0,0,0,0,-1.3752361784069254,0.68111670841744,-1.1815245176581135,0,-1.311249731601232,-1.2312732503061836,-1.5049368478957499,0,0,-1.2299351375114902,-1.2340967231015978,-1.3310153383642442,1.27,26,2,1.42,4,8,79.12,0.44,1.2,1.27,0.07692304733728948,12.0,0.5592271785425548,0.0,0,0,LOW
2026-02-06,0,0,0,0,-1.3898714884456298,1.5058796247655006,-1.1815245176581135,0,-1.2170110703129473,-1.2312732503061836,-1.4445703477795946,0,0,-1.4033566728973716,-1.2402268500480418,-1.3066441844626524,1.22,32,2,1.71,4,9,75.02,0.41,1.28,1.22,0.0624999804687561,13.0,0.5495241188146202,0.0,0,10,LOW
2026-02-07,0,0,0,0,-1.32254906226759,0.5436562223594298,-1.3064874491925518,0,-1.2592559874421783,-1.3196632898112937,-1.263470847431129,0,0,-1.3758630148483904,-1.2259232205063395,-1.2975050017495557,1.45,25,1,1.58,3,12,75.67,0.48,1.31,1.45,0.0399999840000064,15.0,0.6383826787627771,0.0,0,0,LOW
2026-02-08,0,0,0,0,-1.4191421085230382,0.9560376805334602,-1.1815245176581135,0,-1.3664930847702264,-1.4080533293164037,-1.3842038476634395,0,0,-1.3720562006569927,-1.27905098737552,-1.257901876659469,1.12,28,2,1.25,2,10,75.76,0.22,1.44,1.12,0.07142854591837645,12.0,0.2912363924759872,0.0,0,0,LOW
2026-02-09,0,0,0,0,-1.4308503565540018,0.8185771944754501,-1.43145038072699,0,-1.1617677171439529,-1.3196632898112937,-1.4445703477795946,0,0,-1.2062482936539065,-1.2320533474527833,-1.3492937037904382,1.08,27,0,1.88,3,9,79.68,0.45,1.14,1.08,0.0,12.0,0.5679666076023466,0.0,0,8,LOW
2026-02-10,0,0,0,0,-1.448412728600447,0.8185771944754501,-1.1815245176581135,0,-1.411987610909398,-1.3196632898112937,-1.3842038476634395,0,0,-1.2172457568734991,-1.277007611726705,-1.251809088184071,1.02,27,2,1.11,3,10,79.42,0.23,1.46,1.02,0.07407404663924198,13.0,0.29044067553470443,0.0,0,21,LOW
2026-02-11,0,0,0,0,-1.2493725120740686,1.0934981665914703,-1.43145038072699,0,-1.376241911800049,-1.1428832108010734,-1.3842038476634395,0,0,-1.1863682639877202,-1.2851811143219638,-1.273133847847964,1.7,29,0,1.22,5,10,80.15,0.19,1.39,1.7,0.0,15.0,0.23761877968749623,0.0,0,13,LOW
2026-02-12,0,0,0,0,-1.2991325662056632,1.918261082939531,-1.1815245176581135,0,-1.3177489496211134,-1.2312732503061836,-1.3842038476634395,0,0,-1.3031105658572402,-1.2810943630243345,-1.4102215885444174,1.53,35,2,1.4,4,10,77.39,0.21,0.94,1.53,0.05714284081633119,14.0,0.2720911800866571,0.0,0,8,LOW
2026-02-13,0,0,0,0,-1.2259560160121417,1.780800596881521,-1.3064874491925518,0,-1.4347348739789842,-1.2312732503061836,-1.4445703477795946,0,0,-1.2680032794254643,-1.2259232205063395,-1.4010824058313205,1.78,34,1,1.04,4,9,78.22,0.48,0.97,1.78,0.029411756055365862,13.0,0.6174426784869207,0.0,0,3,LOW
2026-02-14,0,0,0,0,-1.3137678762443676,1.780800596881521,-1.43145038072699,0,-1.3664930847702264,-1.4080533293164037,-1.3238373475472842,0,0,-1.3166459052044313,-1.2402268500480418,-1.3432009153150402,1.48,34,0,1.25,2,11,77.07,0.41,1.16,1.48,0.0,13.0,0.5348290458088903,0.0,0,0,LOW
2026-02-15,0,0,0,0,-1.2874243181746998,1.3684191387074907,-1.43145038072699,0,-1.139020454074367,-1.3196632898112937,-1.3842038476634395,0,0,-1.403779652251971,-1.227966596155154,-1.3249225498888464,1.57,31,0,1.95,3,10,75.01,0.47,1.22,1.57,0.0,13.0,0.6305338569179155,0.0,0,0,LOW
