Scenario ID,Strategic Reserve,Current Inventory,Safety Stock,Remaining Days
1,1037.1,605.2,151.3,82.0
2,1652.0,1334.5,333.6,30.0
3,982.2,562.9,140.7,42.0
4,2712.1,1277.4,319.4,17.0
5,1569.8,847.1,211.8,57.0
6,1435.8,893.5,223.4,80.0
7,4417.0,1829.3,457.3,71.0
8,1224.6,928.5,232.1,32.0
9,1250.7,564.6,141.1,53.0
10,3628.6,1597.2,399.3,59.0
11,1800.1,1487.1,371.8,70.0
12,3111.1,1767.0,441.7,18.0
13,3057.6,1652.2,413.0,32.0
14,1671.3,874.3,218.6,87.0
15,1872.4,962.7,240.7,77.0
16,1097.1,908.0,227.0,31.0
17,2505.5,1545.0,386.3,55.0
18,1889.3,816.3,204.1,84.0
19,1592.8,1160.9,290.2,36.0
20,2589.0,1674.9,418.7,17.0
21,2891.8,1996.4,499.1,28.0
22,2078.3,1532.1,383.0,87.0
23,1550.9,771.8,192.9,61.0
24,2085.5,1129.8,282.4,44.0
25,2279.7,1664.4,416.1,39.0
26,3631.6,1695.8,424.0,72.0
27,2270.8,1010.8,252.7,39.0
28,2960.1,1492.6,373.1,24.0
29,1047.1,850.7,212.7,35.0
30,3068.1,1922.4,480.6,78.0
31,1435.9,919.8,230.0,56.0
32,2793.6,1890.4,472.6,30.0
33,2328.2,1360.9,340.2,73.0
34,1670.1,1374.9,343.7,61.0
35,1836.9,871.8,218.0,74.0
36,2704.0,1096.5,274.1,16.0
37,1124.0,592.8,148.2,86.0
38,3131.9,1856.4,464.1,60.0
39,1045.9,791.7,197.9,27.0
40,3929.6,1748.5,437.1,50.0
41,4158.7,1726.0,431.5,50.0
42,1925.6,1175.1,293.8,44.0
43,1500.4,919.6,229.9,85.0
44,1061.7,576.9,144.2,51.0
45,2911.6,1591.3,397.8,61.0
46,1825.5,1294.9,323.7,35.0
47,3737.8,1708.1,427.0,43.0
48,1121.0,723.9,181.0,50.0
49,1515.3,1111.6,277.9,32.0
50,728.4,585.0,146.3,59.0
51,2257.8,1006.3,251.6,57.0
52,2248.6,1462.3,365.6,36.0
53,1615.1,1006.0,251.5,87.0
54,1465.8,845.0,211.2,84.0
55,4038.1,1812.7,453.2,34.0
56,3429.4,1509.6,377.4,19.0
57,1586.0,734.5,183.6,51.0
58,775.9,623.0,155.8,58.0
59,1548.6,621.8,155.5,21.0
60,959.7,675.9,169.0,45.0
61,2905.5,1489.1,372.3,75.0
62,3614.1,1456.9,364.2,46.0
63,2478.8,1429.1,357.3,16.0
64,2949.1,1428.2,357.0,30.0
65,1805.6,1467.3,366.8,45.0
66,3481.7,1533.6,383.4,18.0
67,2642.0,1404.8,351.2,26.0
68,1320.3,560.2,140.1,79.0
69,3274.4,1478.1,369.5,85.0
70,2045.1,879.5,219.9,33.0
71,1703.7,688.9,172.2,57.0
72,2676.6,1945.7,486.4,81.0
73,2987.8,1514.7,378.7,80.0
74,1990.1,1648.7,412.2,68.0
75,1782.5,1143.6,285.9,39.0
76,951.4,527.6,131.9,56.0
77,1711.0,850.0,212.5,56.0
78,1793.2,876.6,219.2,36.0
79,1442.4,683.0,170.8,41.0
80,2632.0,1601.2,400.3,80.0
81,1524.0,1117.1,279.3,87.0
82,3225.0,1434.1,358.5,62.0
83,1094.8,541.8,135.4,79.0
84,3232.1,1509.3,377.3,41.0
85,3258.7,1450.1,362.5,80.0
86,1357.0,575.6,143.9,42.0
87,922.7,748.9,187.2,35.0
88,795.5,604.1,151.0,32.0
89,1548.5,691.2,172.8,72.0
90,1538.6,1109.9,277.5,50.0
91,4262.3,1987.2,496.8,75.0
92,4126.1,1850.4,462.6,47.0
93,3510.5,1756.3,439.1,52.0
94,1133.8,943.7,235.9,30.0
95,1703.6,826.8,206.7,84.0
96,3624.2,1526.9,381.7,28.0
97,942.7,691.1,172.8,29.0
98,1463.5,641.6,160.4,58.0
99,1967.9,1474.7,368.7,57.0
100,1063.0,500.0,125.0,31.0
101,1854.4,1331.5,332.9,76.0
102,3022.5,1310.4,327.6,49.0
103,3546.7,1848.2,462.0,39.0
104,2223.3,1076.1,269.0,83.0
105,1638.1,1083.1,270.8,15.0
106,1289.0,972.4,243.1,89.0
107,4308.8,1744.6,436.1,89.0
108,3031.3,1297.8,324.5,34.0
109,3100.2,1374.1,343.5,72.0
110,1960.3,1214.7,303.7,80.0
111,3148.6,1508.8,377.2,43.0
112,2581.4,1542.0,385.5,74.0
113,1351.8,692.5,173.1,34.0
114,3806.1,1630.2,407.6,33.0
115,3198.6,1595.4,398.8,27.0
116,3319.8,1510.6,377.6,66.0
117,2767.7,1238.1,309.5,57.0
118,1082.9,794.4,198.6,56.0
119,2014.1,1285.3,321.3,37.0
120,2624.1,1378.3,344.6,34.0
121,3372.7,1477.9,369.5,65.0
122,2629.5,1378.4,344.6,25.0
123,3300.9,1456.7,364.2,52.0
124,1995.7,1284.8,321.2,20.0
125,1405.6,878.5,219.6,56.0
126,1805.4,730.9,182.7,86.0
127,2954.6,1374.7,343.7,21.0
128,2639.4,1461.4,365.4,39.0
129,3413.9,1550.6,387.7,26.0
130,2475.2,1037.9,259.5,60.0
131,3838.7,1598.6,399.6,27.0
132,3485.6,1649.8,412.4,71.0
133,3931.9,1949.8,487.5,63.0
134,2421.8,1514.2,378.5,68.0
135,2952.4,1325.7,331.4,42.0
136,2258.9,1369.6,342.4,39.0
137,973.3,593.1,148.3,50.0
138,958.4,749.1,187.3,31.0
139,889.3,659.5,164.9,59.0
140,1579.7,672.7,168.2,65.0
141,999.6,500.3,125.1,67.0
142,2375.8,1163.1,290.8,52.0
143,2057.9,1183.1,295.8,21.0
144,3595.9,1473.1,368.3,55.0
145,1187.9,770.8,192.7,64.0
146,1807.1,1102.2,275.5,15.0
147,1545.9,743.8,186.0,18.0
148,2356.6,1601.5,400.4,18.0
149,2622.3,1328.5,332.1,87.0
150,875.6,647.9,162.0,38.0
151,3242.6,1704.5,426.1,57.0
152,3210.7,1348.8,337.2,32.0
153,1775.8,758.1,189.5,61.0
154,3037.7,1804.9,451.2,51.0
155,1503.5,620.9,155.2,62.0
156,3142.1,1379.9,345.0,44.0
157,2167.6,972.5,243.1,26.0
158,3866.8,1743.0,435.7,67.0
159,1650.6,792.8,198.2,72.0
160,3216.9,1981.6,495.4,20.0
161,1982.6,1583.1,395.8,33.0
162,2491.3,1274.4,318.6,44.0
163,2753.8,1508.4,377.1,26.0
164,2366.2,1925.8,481.4,23.0
165,2203.4,1810.8,452.7,43.0
166,1262.8,920.5,230.1,29.0
167,1743.0,1415.6,353.9,58.0
168,1151.7,581.8,145.5,57.0
169,2589.4,1189.0,297.2,72.0
170,1469.8,1163.9,291.0,25.0
171,3417.1,1739.5,434.9,36.0
172,1998.7,827.3,206.8,56.0
173,3316.6,1676.6,419.2,69.0
174,2026.3,871.1,217.8,53.0
175,2092.6,1407.6,351.9,63.0
176,1955.1,1357.4,339.4,46.0
177,3863.8,1737.3,434.3,67.0
178,1921.0,1285.1,321.3,53.0
179,2135.1,1060.7,265.2,17.0
180,1136.3,776.7,194.2,49.0
181,990.3,576.7,144.2,33.0
182,2832.6,1825.3,456.3,61.0
183,1611.8,1258.5,314.6,59.0
184,2495.7,1329.9,332.5,81.0
185,3498.3,1817.1,454.3,85.0
186,813.5,647.0,161.8,55.0
187,3490.2,1854.1,463.5,58.0
188,1381.0,568.4,142.1,86.0
189,1228.7,944.9,236.2,26.0
190,4417.3,1976.0,494.0,55.0
191,956.5,749.1,187.3,20.0
192,3714.9,1526.5,381.6,32.0
193,2494.7,1892.1,473.0,42.0
194,741.5,615.1,153.8,71.0
195,950.8,583.1,145.8,46.0
196,2148.1,1234.5,308.6,82.0
197,1016.7,765.6,191.4,81.0
198,3737.2,1951.7,487.9,38.0
199,1665.0,973.0,243.3,27.0
200,955.1,754.3,188.6,80.0
